block_id,street,barrio,tipo_c,traffic,n_lines_on,n_lines_walk,buses_hour_on,buses_hour_walk,score_n_lines_walk,score_buses_hour_walk
30402,PARAGUAY,Retiro,CALLE,0.25,1,31,47.6,831.1,75.0,57.4
30404,"BUTTY, ENRIQUE, ING.",Retiro,CALLE,0.25,0,30,0.0,763.5,75.0,66.2
30405,"ALVEAR, MARCELO T. DE",Retiro,CALLE,0.25,0,29,0.0,756.2,75.0,65.3
30422,LAVALLE,San Nicolas,CALLE,0.25,1,28,28.9,774.1,75.0,67.0
30423,LAVALLE,San Nicolas,CALLE,0.25,1,28,28.9,774.1,75.0,67.0
30424,TUCUMAN,San Nicolas,CALLE,0.25,1,28,8.0,821.4,75.0,73.1
30425,TUCUMAN,San Nicolas,CALLE,0.25,1,28,8.0,773.1,75.0,67.3
31276,FINOCHIETTO ENRIQUE DR.,Barracas,CALLE,0.25,0,28,0.0,963.5,75.0,75.0
31432,"FERNANDEZ, SARA BEATRIZ",Retiro,CALLE,0.25,0,29,0.0,929.4,75.0,75.0
31634,CALLE INTERNA ACCESO RETIRO,Retiro,CALLE,0.25,0,28,0.0,842.1,75.0,75.0
31637,CALLE INTERNA ACCESO RETIRO,Retiro,CALLE,0.25,1,28,7.7,875.4,75.0,75.0
31659,"ALSINA, ADOLFO",Monserrat,CALLE,0.25,0,28,0.0,709.0,75.0,59.6
31814,"GILARDI, GILARDO",Retiro,CALLE,0.25,0,29,0.0,933.7,75.0,75.0
31818,SAN MARTIN,Retiro,CALLE,0.25,0,29,0.0,933.7,75.0,75.0
32264,COLIBRI,Retiro,CALLE,0.25,0,28,0.0,720.0,75.0,61.0
32266,AGUAI,Retiro,CALLE,0.25,0,28,0.0,779.9,75.0,68.1
32267,COLIBRI,Retiro,CALLE,0.25,0,29,0.0,929.4,75.0,75.0
32268,FLOR DE OTOÑO,Retiro,CALLE,0.25,0,29,0.0,929.4,75.0,75.0
32269,FLOR DE OTOÑO,Retiro,CALLE,0.25,0,28,0.0,779.9,75.0,68.1
32884,"BUTTY, ENRIQUE, ING.",Retiro,CALLE,0.25,0,30,0.0,810.5,75.0,71.8
32885,"DELLA PAOLERA, CARLOS M.",Retiro,CALLE,0.25,0,33,0.0,758.1,75.0,65.5
32893,TUCUMAN,San Nicolas,CALLE,0.25,1,28,5.5,733.6,75.0,62.6
32926,LETONIA,Retiro,CALLE,0.25,0,28,0.0,940.5,75.0,75.0
32929,LETONIA,Retiro,CALLE,0.25,0,28,0.0,948.0,75.0,75.0
6548,COMBATE DE COSTA BRAVA,Retiro,CALLE,0.25,0,27,0.0,820.9,71.4,73.0
7900,"ROJAS, RICARDO, DR.",Retiro,CALLE,0.25,0,27,0.0,692.1,71.4,57.6
8430,PARAGUAY,Retiro,CALLE,0.25,1,27,47.6,605.1,71.4,30.4
8431,FLORIDA,Retiro,CALLE,0.25,0,27,0.0,567.7,71.4,42.8
8592,PARAGUAY,Retiro,CALLE,0.25,1,27,47.6,798.8,71.4,53.5
8786,"PELLEGRINI, CARLOS",Retiro,CALLE,0.25,0,27,0.0,805.3,71.4,71.1
8875,"SANCHEZ DE THOMPSON, MARIQUITA",Puerto Madero,CALLE,0.25,0,27,0.0,706.0,71.4,59.3
8881,VIAMONTE,San Nicolas,CALLE,0.25,1,27,12.0,706.0,71.4,59.3
9225,TUCUMAN,San Nicolas,CALLE,0.25,1,27,8.0,760.5,71.4,65.8
9534,LAVALLE,San Nicolas,CALLE,0.25,1,27,7.7,572.4,71.4,43.3
10121,BOUCHARD,San Nicolas,CALLE,0.25,0,27,0.0,730.3,71.4,62.2
10178,SARMIENTO,San Nicolas,CALLE,0.25,0,27,0.0,730.3,71.4,62.2
10208,SARMIENTO,San Nicolas,CALLE,0.25,0,27,0.0,730.3,71.4,62.2
10209,SARMIENTO,San Nicolas,CALLE,0.25,0,27,0.0,741.2,71.4,63.5
10508,RECONQUISTA,San Nicolas,CALLE,0.25,0,27,0.0,666.9,71.4,54.6
10530,"GOMEZ, VALENTIN",Balvanera,CALLE,0.25,0,27,0.0,816.9,71.4,72.5
10651,"PELLEGRINI, CARLOS",San Nicolas,CALLE,0.25,0,27,0.0,773.0,71.4,67.3
10702,SARMIENTO,Balvanera,CALLE,0.25,1,27,15.5,845.7,71.4,75.0
10703,PASO,Balvanera,CALLE,0.25,1,27,20.0,800.0,71.4,70.5
10762,25 DE MAYO,San Nicolas,CALLE,0.25,0,27,0.0,653.1,71.4,53.0
10956,CERRITO,San Nicolas,CALLE,0.25,0,27,0.0,827.8,71.4,73.8
10982,"MITRE, BARTOLOME",San Nicolas,CALLE,0.25,1,27,12.0,840.1,71.4,75.0
12337,"ALSINA, ADOLFO",Balvanera,CALLE,0.25,0,27,0.0,899.6,71.4,75.0
15996,TACUARI,Constitucion,CALLE,0.25,0,27,0.0,846.8,71.4,75.0
16136,PAVON,Constitucion,CALLE,0.25,1,27,22.9,796.0,71.4,70.0
19304,BUERAS,Liniers,PASAJE,0.0,0,20,0.0,452.9,71.4,54.1
23708,FOURNIER,Nueva Pompeya,CALLE,0.25,0,27,0.0,809.9,71.4,71.7
23754,TILCARA,Nueva Pompeya,CALLE,0.25,0,27,0.0,745.0,71.4,63.9
24185,FALUCHO,Nueva Pompeya,PASAJE,0.0,0,20,0.0,598.6,71.4,71.5
24281,"COLMO, ALFREDO",Nueva Pompeya,PASAJE,0.0,0,20,0.0,584.0,71.4,69.7
27491,"FELS, PABLO T.,CABO",Retiro,CALLE,0.25,0,27,0.0,656.7,71.4,53.4
27516,"DEL CARRIL, HUGO",Flores,PASAJE PEATONAL,0.0,0,20,0.0,454.1,71.4,54.2
28305,DE LOS INMIGRANTES AV.,Retiro,CALLE,0.25,0,27,0.0,664.2,71.4,54.3
28307,DE LOS INMIGRANTES AV.,Retiro,CALLE,0.25,0,27,0.0,685.0,71.4,56.8
30000,"MORTZ, ALBERTO",Retiro,CALLE,0.25,0,27,0.0,712.7,71.4,60.1
30418,SARMIENTO,San Nicolas,CALLE,0.25,0,27,0.0,730.3,71.4,62.2
30419,SARMIENTO,San Nicolas,CALLE,0.25,0,27,0.0,730.3,71.4,62.2
32425,MERCEDES SOSA,Chacarita,PASAJE,0.0,0,20,0.0,542.7,71.4,64.8
32426,MERCEDES SOSA,Chacarita,PASAJE,0.0,0,20,0.0,525.5,71.4,62.7
5148,THAMES,Palermo,CALLE,0.25,1,26,13.3,1062.6,67.9,75.0
5269,"BORGES, JORGE LUIS",Palermo,CALLE,0.25,0,26,0.0,1098.0,67.9,75.0
5373,GURRUCHAGA,Palermo,CALLE,0.25,0,26,0.0,1098.0,67.9,75.0
