block_id,lines
2351,107
2355,071
2365,067
2366,067 151
2367,041 169
2369,076 107
2372,042
2373,042
2375,041 044 059 063 065 067 068 080 152 161 168 184
2377,071
2391,041 093
2393,113
2402,076 107
2403,076 107
2407,113
2409,071
2412,071
2417,044
2421,107
2425,019 107 114 133
2426,019
2436,067
2437,067
2440,076
2445,107
2446,168 184
2448,042
2452,041
2453,041 093
2458,042 059
2459,015 029 055 060 118
2460,113
2466,015 029 055 059 060 118
2467,110 176
2475,113
2476,151
2489,041 169
2490,071
2492,071
2493,019 076 107 114 133
2494,076 107
2495,044
2496,044 063 065 080 168 184
2506,041 093
2513,110 176
2518,019 076 114
2522,071
2523,041 071 169
2530,113
2532,041 071 169
2533,071
2542,110 176
2549,041 071 169
2554,042
2555,015 029 042 055 059 060 118
2560,044 065 080 168 184
2561,168 184
2562,076
2563,076
2570,041 093
2571,071 176
2574,110 176
2576,107
2578,034 160 166
2582,063 080 168 184
2584,113
2585,110 176
2587,063
2595,041 071 169
2600,113
2601,113 151
2607,042 059
2609,041 071 169
2610,041 093
2615,110 176
2625,044 065 080 168 184
2627,076
2628,076
2632,019 076 114
2633,076
2636,110 176
2639,071
2642,107
2644,113
2647,015 029 055 059 060 118
2648,076
2653,057 063 194
2655,110 176
2658,064
2662,071 176
2664,093
2665,080 168 184
2666,168 184
2673,113
2675,110 176
2678,041 071 169
2679,041 093
2682,063 068 161
2683,110 176
2685,064
2693,041 059 060 063 067 068 152 161
2694,044 065
2696,042 059
2697,059
2698,110 176
2702,042 059
2704,107
2707,113 151
2714,176
2720,037 130
2721,160
2722,064 130
2725,080 168 184
2726,044 065 080 168 184
2728,093
2731,176
2734,071 169
2736,110 176
2742,019
2744,113
2748,019 076 114
2753,113
2755,168 184
2756,044 065
2764,071
2765,064
2766,064
2769,015 029 055 059 060 118
2770,110 176
2774,176
2778,107
2779,093
2784,019 076 114
2792,071 176
2794,044 065 080 168 184
2796,064
2801,019
2802,019
2805,071 169
2808,041 059 060 063 067 068 152 161
2811,034 037 160 166
2812,064 130
2814,042 059
2818,110 176
2820,176
2822,064
2825,113
2826,065 080 168 184
2827,044
2828,044 065
2831,113
2832,113 151
2842,110 176
2849,176
2850,019
2851,019
2852,176
2853,093 107
2854,093
2855,019 114
2857,019 076 114
2858,019
2859,019
2860,071 176
2866,044 065 080 168 184
2870,041 059 060 063 067 068 152 161
2871,169
2876,019
2879,019 076
2880,107
2885,064
2886,064
2892,044 065 080 168 184
2893,044 065
2899,044 065 080
2901,110 176
2905,064
2906,064
2909,093
2914,064
2919,042 059
2923,176
2925,071
2926,169
2930,064
2931,064
2932,107
2933,107
2934,169
2936,071 176
2937,019 076 114 133
2940,041 059 060 063 067 068 152 161
2944,015 029 055 059 060 118
2947,114
2956,110 176
2960,019
2961,107
2964,113
2968,169
2970,064
2972,044 065 080
2975,019
2976,034 037 130 160 166
2981,130
2984,093
2985,093
2986,110 176
2994,042
2997,176
2998,015 029 055 059 060 118
3000,019
3003,064
3005,093
3006,071
3007,176
3010,107
3012,107
3013,107
3014,019 076 114 133
3015,019 076
3017,041 059 060 063 067 068 152 161
3020,107
3023,107 114 133
3027,110 176
3034,044 065 080 168 184
3035,113 151
3040,064
3049,044 065 080
3056,064
3057,064
3059,041 059 060 063 067 068 152 161
3064,071 169
3065,071
3070,076
3073,107
3080,064
3081,015 029 055 059 060 118
3084,113
3085,113
3090,107
3094,071
3095,071 176
3098,019 076 114 133
3099,019
3101,019
3102,110 176
3106,107 114 133
3110,044 065 080 113
3113,044 065 080 151 168
3114,042 059
3115,041 059 063 067 068 152 161
3127,093
3131,107
3132,107
3133,064
3142,113
3143,019
3146,044 065 080 113
3148,076
3149,076
3154,071 140 169
3155,176
3166,042 059
3167,042 063 068 152 161
3170,110 176
3171,176
3172,019 076 114 133
3175,071 140 169
3176,113
3177,113
3178,064
3179,064
3182,107 114 133
3183,093 107 114 133
3186,107
3187,107
3189,113
3198,076
3210,064
3211,015 029 055 059 060 064 118
3212,064
3213,064
3216,113
3217,019
3219,068 152 161
3222,076
3223,076
3227,110
3229,071 140 169
3230,071 176
3233,068 152 161
3237,130 160
3238,114 133
3241,044 065 080 113
3242,113
3246,107 114 133
3247,093
3250,071 169
3251,176
3253,113
3257,019 113
3258,019
3261,110 111 127 140 169
3266,071 140 169 176
3268,076
3272,169
3273,110 176
3279,107
3280,071 140
3282,093
3283,140 169
3285,130
3286,130
3292,042 063
3295,044 065 080 151 168
3300,064
3302,010
3303,113
3309,060 067 068 152 161
3316,140 169
3319,169
3323,019 113
3324,019
3325,114 133
3331,015 029 055 059 060 064 118
3336,041 067 068 152 161
3338,076
3339,037 160
3341,107 114 133
3343,076
3347,113
3350,113
3351,113
3352,169
3353,071 140 169 176
3359,110 111 127 140 176
3361,110
3362,140 169
3367,093
3368,093
3371,169
3372,071 169 176
3375,037 160
3376,037 130 160
3379,110 111 127 140
3381,168
3384,044 065 080 113
3385,113
3387,057 067 068 152 161 194
3388,113
3391,071 107 140 169
3400,140 169
3402,042 063
3406,076
3409,107 114 133
3413,113
3415,114 133
3416,093
3417,169
