block_id,street,barrio,tipo_c,red_jerarq,n_lines_on,lines_on,n_lines_walk,lines_walk,buses_hour_walk,buses_hour_on,n_stops_walk
29129,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Barracas,BAJADA AUTOPISTA,VÍA TRONCAL,2,045 195,0,,0.0,3.3,0
29130,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Barracas,AUTOPISTA,VÍA TRONCAL,2,045 195,3,051 100 134,42.5,3.3,2
29131,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Barracas,SUBIDA AUTOPISTA,VÍA TRONCAL,2,051 134,16,012 017 022 025 051 060 065 098 100 102 129 133 134 148 154 195,536.1,21.5,8
29132,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Barracas,AUTOPISTA,VÍA TRONCAL,4,045 051 134 195,3,051 100 134,42.5,24.8,4
29133,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Barracas,SUBIDA AUTOPISTA,VÍA TRONCAL,14,010 017 022 024 033 065 074 093 095 098 100 129 148 154,19,010 012 017 020 022 024 033 051 070 074 093 095 098 100 129 133 134 148 154,605.8,235.0,4
29134,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Barracas,SUBIDA AUTOPISTA,VÍA TRONCAL,4,017 022 098 154,19,010 012 017 020 022 024 033 051 070 074 093 095 098 100 129 133 134 148 154,605.8,72.9,0
29135,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Barracas,SUBIDA AUTOPISTA,VÍA TRONCAL,18,010 017 022 024 033 045 051 065 074 093 095 098 100 129 134 148 154 195,3,051 100 134,42.5,259.9,2
29136,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Barracas,AUTOPISTA,VÍA TRONCAL,18,010 017 022 024 033 045 051 065 074 093 095 098 100 129 134 148 154 195,3,051 100 134,42.5,265.9,2
29137,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Barracas,AUTOPISTA,VÍA TRONCAL,18,010 017 022 024 033 045 051 065 074 093 095 098 100 129 134 148 154 195,0,,0.0,264.1,0
29138,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Barracas,BAJADA AUTOPISTA,VÍA TRONCAL,15,010 017 022 024 033 051 074 093 095 098 100 134 148 154 195,0,,0.0,240.4,0
29139,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Barracas,BAJADA AUTOPISTA,VÍA TRONCAL,7,051 098 100 129 134 148 195,18,010 012 017 020 022 024 033 051 070 074 093 095 098 100 133 134 148 154,574.3,129.4,4
29140,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Barracas,BAJADA AUTOPISTA,VÍA TRONCAL,9,010 017 022 024 033 074 093 095 154,18,010 012 017 020 022 024 033 051 070 074 093 095 098 100 133 134 148 154,574.3,114.5,3
29141,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Barracas,AUTOPISTA,VÍA TRONCAL,3,045 065 129,0,,0.0,23.7,0
29142,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Barracas,SUBIDA AUTOPISTA,VÍA TRONCAL,0,,20,010 012 017 020 022 024 033 045 051 070 074 093 095 098 100 129 133 134 148 154,629.1,0.0,1
29143,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Barracas,AUTOPISTA,VÍA TRONCAL,3,045 065 129,2,065 195,11.6,23.7,1
29144,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Barracas,BAJADA AUTOPISTA,VÍA TRONCAL,2,065 129,16,012 017 022 025 051 060 065 098 100 102 129 133 134 148 154 195,536.1,20.9,6
29145,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Barracas,AUTOPISTA,VÍA TRONCAL,1,045,2,065 195,11.6,2.7,1
29146,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Barracas,SUBIDA AUTOPISTA,VÍA TRONCAL,1,045,16,012 017 022 025 051 060 065 098 100 102 129 133 134 148 154 195,536.1,2.7,6
29147,FINOCHIETTO ENRIQUE DR.,Barracas,CALLE,VÍA LOCAL,11,009 028 045 046 051 060 065 100 129 148 195,23,009 012 017 028 045 046 051 060 061 065 084 090 097 098 100 102 129 133 148 151 154 168 195,758.9,164.0,2
29148,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Barracas,SUBIDA AUTOPISTA,VÍA TRONCAL,2,045 195,23,009 012 017 028 045 046 051 060 061 065 084 090 097 098 100 102 129 133 148 151 154 168 195,758.9,3.3,0
29149,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Barracas,AUTOPISTA,VÍA TRONCAL,1,045,0,,0.0,2.7,0
29150,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Barracas,BAJADA AUTOPISTA,VÍA TRONCAL,1,045,0,,0.0,2.7,0
29151,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,BAJADA AUTOPISTA,VÍA TRONCAL,0,,23,009 012 017 028 045 046 051 060 061 065 084 090 097 098 100 102 129 133 148 151 154 168 195,758.9,0.0,0
29152,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,BAJADA AUTOPISTA,VÍA TRONCAL,7,045 051 065 098 129 148 195,27,009 010 012 017 028 039 045 046 051 060 061 062 065 070 084 090 097 098 100 102 129 133 148 151 154 168 195,931.8,119.2,2
29153,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Barracas,AUTOPISTA,VÍA TRONCAL,0,,1,059,61.8,0.0,1
29154,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Constitucion,AUTOPISTA,VÍA TRONCAL,0,,11,010 017 039 053 059 060 096 098 126 129 195,480.1,0.0,2
29155,AUTOPISTA 25 DE MAYO,Constitucion,AUTOPISTA,VÍA TRONCAL,1,129,0,,0.0,2.7,0
29156,AUTOPISTA 25 DE MAYO,San Telmo,AUTOPISTA,VÍA TRONCAL,1,129,2,074 143,33.7,2.7,1
29157,AUTOPISTA 25 DE MAYO,San Telmo,BAJADA AUTOPISTA,VÍA TRONCAL,1,129,15,004 008 020 033 061 062 064 086 093 103 129 130 152 159 195,492.9,2.7,0
29158,AUTOPISTA 25 DE MAYO,San Telmo,SUBIDA AUTOPISTA,VÍA TRONCAL,0,,18,004 008 020 029 033 061 062 064 074 086 093 103 111 129 130 143 152 159,520.3,0.0,0
29159,AUTOPISTA 25 DE MAYO,San Telmo,SUBIDA AUTOPISTA,VÍA TRONCAL,0,,18,004 008 020 029 033 061 062 064 074 086 093 103 111 129 130 143 152 159,535.3,0.0,0
29160,AUTOPISTA BUENOS AIRES - LA PLATA,,AUTOPISTA,VÍA LOCAL,1,129,2,074 143,33.7,2.7,2
29161,AUTOPISTA BUENOS AIRES - LA PLATA,La Boca,SUBIDA AUTOPISTA,VÍA LOCAL,4,020 129 159 195,10,004 008 020 074 086 129 130 143 159 195,237.9,39.0,6
29162,AUTOPISTA BUENOS AIRES - LA PLATA,La Boca,AUTOPISTA,VÍA LOCAL,3,129 159 195,2,074 143,33.7,34.0,1
29163,AUTOPISTA BUENOS AIRES - LA PLATA,La Boca,AUTOPISTA,VÍA LOCAL,3,129 159 195,0,,0.0,62.6,0
29164,AUTOPISTA BUENOS AIRES - LA PLATA,La Boca,BAJADA AUTOPISTA,VÍA LOCAL,4,020 129 159 195,3,004 008 020,66.6,50.4,0
29165,AUTOPISTA BUENOS AIRES - LA PLATA,,AUTOPISTA,VÍA LOCAL,1,129,0,,0.0,2.7,0
29167,AUTOPISTA 25 DE MAYO,San Telmo,SUBIDA AUTOPISTA,VÍA TRONCAL,1,129,0,,0.0,2.7,0
29168,AUTOPISTA 25 DE MAYO,San Telmo,SUBIDA AUTOPISTA,VÍA TRONCAL,1,129,19,004 008 022 024 028 029 033 061 062 064 074 086 093 129 130 143 152 159 195,601.4,2.7,0
29169,AUTOPISTA 25 DE MAYO,San Telmo,AUTOPISTA,VÍA TRONCAL,1,129,0,,0.0,2.7,0
29170,AUTOPISTA 25 DE MAYO,San Telmo,AUTOPISTA,VÍA TRONCAL,1,129,0,,0.0,2.7,0
29171,SOLIS,Constitucion,CALLE,VÍA LOCAL,5,006 050 129 150 168,12,012 037 050 053 084 090 102 126 129 150 151 168,437.1,54.4,0
29172,CATAMARCA,San Cristobal,CALLE,VÍA LOCAL,1,097,12,004 053 057 062 086 088 097 101 118 126 129 188,277.5,5.3,0
29173,COLOMBRES,Boedo,CALLE,VÍA LOCAL,3,057 075 160,15,004 007 023 053 057 075 088 097 115 126 127 128 134 160 180,348.2,30.5,0
29174,"DELLEPIANE, LUIS, TTE. GRAL.",Parque Avellaneda,AVENIDA,VÍA LOCAL,4,056 086 114 193,8,007 047 050 056 086 101 114 193,158.1,32.9,1
29175,"DELLEPIANE, LUIS, TTE. GRAL.",Villa Lugano,AVENIDA,VÍA LOCAL,4,050 056 086 193,9,007 047 050 056 086 101 114 117 193,195.8,34.4,0
29176,"DELLEPIANE, LUIS, TTE. GRAL.",Villa Lugano,AVENIDA,VÍA LOCAL,0,,2,021 028,94.4,0.0,0
29177,"PAZ, GRAL. AV.",Villa Lugano,ENLACE AUTOPISTA,VÍA TRONCAL,1,028,0,,0.0,12.7,0
29178,"PAZ, GRAL. AV.",Villa Lugano,ENLACE AUTOPISTA,VÍA TRONCAL,2,086 097,4,021 028 097 143,165.2,13.6,1
29179,"DELLEPIANE, LUIS, TTE. GRAL.",Villa Lugano,AVENIDA,VÍA LOCAL,0,,7,056 080 086 117 143 185 193,161.7,0.0,0
29180,MURGUIONDO,Villa Lugano,CALLE,VÍA LOCAL,3,080 117 185,8,050 056 080 086 117 143 185 193,185.2,69.3,5
29181,MURGUIONDO,Villa Lugano,CALLE,VÍA LOCAL,3,080 145 185,8,050 056 080 086 117 143 185 193,185.2,25.6,5
29182,"DELLEPIANE, LUIS, TTE. GRAL.",Villa Lugano,AVENIDA,VÍA LOCAL,1,117,10,007 050 056 080 086 101 117 143 185 193,218.8,19.1,3
29183,"DELLEPIANE, LUIS, TTE. GRAL.",Villa Lugano,AVENIDA,VÍA LOCAL,2,050 145,10,007 050 056 080 086 101 117 143 185 193,218.8,15.0,0
29184,"DELLEPIANE, LUIS, TTE. GRAL.",Parque Avellaneda,AVENIDA,VÍA LOCAL,8,007 056 086 101 114 145 180 193,6,007 056 086 101 114 193,101.0,59.1,3
29185,CATAMARCA,San Cristobal,CALLE,VÍA LOCAL,3,056 086 097,12,004 053 057 062 086 088 097 101 118 126 129 188,272.2,11.7,0
29186,SOLIS,Constitucion,CALLE,VÍA LOCAL,5,006 050 129 150 168,12,012 037 050 053 084 090 102 126 129 150 151 168,437.1,51.7,2
29187,BARRAGAN,Liniers,CALLE,VÍA DISTRIBUIDORA COMPLEMENTARIA,0,,17,001 002 008 034 047 080 096 106 108 109 136 153 163 166 172 174 182,533.9,0.0,0
29188,RIVADAVIA AV.,Villa Luro,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,11,001 002 008 046 086 088 096 113 136 163 182,12,001 002 008 046 063 086 088 096 113 136 163 182,295.5,269.2,5
29189,"DELLEPIANE, LUIS, TTE. GRAL.",Flores,AVENIDA,VÍA LOCAL,5,086 101 114 180 193,7,007 046 056 086 101 114 193,121.0,37.1,0
