block_id,street,barrio,tipo_c,red_jerarq,length_m,n_shapes,buses_hour,buses_hour_n,buses_hour_d,lines_gtfs,lines,n_lines
3430,BUCARELLI,Villa Urquiza,CALLE,VÍA DISTRIBUIDORA COMPLEMENTARIA,108.7,1,8.0,4.0,5.0,112,112,1
3431,"ISABEL, INFANTA AV.",Palermo,AVENIDA,VÍA LOCAL,120.4,5,26.1,18.5,16.0,034 037,034 037,2
3432,DEL LIBERTADOR AV.,Palermo,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,155.9,7,60.8,35.5,31.5,010 034 130,010 034 130,3
3433,CONGRESO AV.,Villa Urquiza,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,48.7,6,33.6,19.0,14.7,140 169,140 169,2
3434,"BONORINO, MARTINIANO",Villa Urquiza,PASAJE,VÍA LOCAL,129.3,0,0,0,0,,,0
3435,"PEDRAZA, MANUELA",Villa Urquiza,CALLE,VÍA LOCAL,112.4,0,0,0,0,,,0
3436,MEDEYROS,Villa Urquiza,CALLE,VÍA LOCAL,128.8,1,8.0,4.0,5.0,112,112,1
3437,"EDISON, TOMAS A. AV.",Recoleta,AVENIDA,VÍA LOCAL,74.6,0,0,0,0,,,0
3438,BLANCO ENCALADA,Villa Urquiza,CALLE,VÍA LOCAL,104.6,0,0,0,0,,,0
3439,MILLER,Villa Urquiza,CALLE,VÍA LOCAL,103.3,0,0,0,0,,,0
3440,REPUBLICA DE SAN MARINO,Villa Pueyrredon,CALLE,VÍA LOCAL,63.8,0,0,0,0,,,0
3441,"GARCIA, TEODORO",Colegiales,CALLE,VÍA LOCAL,101.9,0,0,0,0,,,0
3442,AMENABAR,Colegiales,CALLE,VÍA LOCAL,108.6,0,0,0,0,,,0
3443,PALPA,Colegiales,CALLE,VÍA LOCAL,75.1,0,0,0,0,,,0
3444,MOLDES,Colegiales,CALLE,VÍA LOCAL,79.4,0,0,0,0,,,0
3445,"FIGUEROA ALCORTA, PRES. AV.",Palermo,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,432.0,6,65.7,31.0,33.1,037 067 102 130,037 067 102 130,4
3446,NAHUEL HUAPI,Villa Urquiza,CALLE,VÍA LOCAL,51.3,0,0,0,0,,,0
3447,BAUNESS,Villa Urquiza,CALLE,VÍA DISTRIBUIDORA PRINCIPAL,100.2,14,59.0,34.8,31.5,071 112 140 175 176,071 112 140 175 176,5
3448,MENDOZA,Villa Urquiza,CALLE,VÍA LOCAL,106.5,0,0,0,0,,,0
3449,DONADO,Villa Urquiza,CALLE,VÍA LOCAL,120.0,0,0,0,0,,,0
3450,ORTEGA Y GASSET,Palermo,CALLE,VÍA LOCAL,149.2,2,9.0,3.5,5.0,064,064,1
3451,"CAMPOS, LUIS M. AV.",Palermo,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,124.3,76,324.4,167.6,189.3,015 029 055 059 060 064 118,015 029 055 059 060 064 118,7
3452,"SALGUERO, JERONIMO",,CALLE,VÍA DISTRIBUIDORA PRINCIPAL,122.8,0,0,0,0,,,0
3453,"OLAGUER Y FELIU, VIRREY",Colegiales,CALLE,VÍA LOCAL,115.5,0,0,0,0,,,0
3454,ZAPIOLA,Colegiales,CALLE,VÍA LOCAL,117.5,3,15.8,8.7,8.2,168,168,1
3455,GOROSTIAGA,Colegiales,CALLE,VÍA LOCAL,121.1,0,0,0,0,,,0
3456,ZAPATA,Colegiales,CALLE,VÍA LOCAL,119.7,0,0,0,0,,,0
3457,CARBAJAL,Belgrano,CALLE,VÍA LOCAL,152.7,0,0,0,0,,,0
3458,CONDE,Belgrano,CALLE,VÍA LOCAL,107.0,0,0,0,0,,,0
3459,"LORETO, VIRREY",Colegiales,CALLE,VÍA LOCAL,104.7,0,0,0,0,,,0
3460,CONESA,Colegiales,CALLE,VÍA LOCAL,93.5,0,0,0,0,,,0
3461,DE LOS INCAS AV.,Belgrano,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,82.6,8,84.9,32.5,36.7,044 065 080 151 184,044 065 080 151 184,5
3462,ELCANO AV.,Colegiales,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,139.4,11,107.8,32.4,44.8,044 065 080 151 168 184,044 065 080 151 168 184,6
